"TimeGenerated","LossHealthState","Loss"
"9/21/2019 1:51:08 PM","Healthy","6.015038"
"9/21/2019 1:51:08 PM","Healthy","6.616541"
"9/21/2019 1:51:08 PM","Unhealthy","6.015038"
"9/21/2019 1:51:08 PM","Unhealthy","6.616541"
"9/21/2019 1:48:08 PM","Healthy","0"
"9/21/2019 1:48:08 PM","Healthy","0"
"9/21/2019 1:48:08 PM","Healthy","0"
"9/21/2019 1:48:08 PM","Healthy","0"
"9/21/2019 1:45:08 PM","Healthy","0"
"9/21/2019 1:45:08 PM","Healthy","0"
"9/21/2019 1:45:08 PM","Healthy","0"
"9/21/2019 1:45:08 PM","Healthy","0"
"9/21/2019 1:42:08 PM","Healthy","0"
"9/21/2019 1:42:08 PM","Healthy","0"
"9/21/2019 1:42:08 PM","Healthy","0"
"9/21/2019 1:42:08 PM","Healthy","0"
"9/21/2019 1:39:08 PM","Healthy","6.015038"
"9/21/2019 1:39:08 PM","Healthy","6.616541"
"9/21/2019 1:39:08 PM","Unhealthy","6.015038"
"9/21/2019 1:39:08 PM","Unhealthy","6.616541"
"9/21/2019 1:36:08 PM","Healthy","0"
"9/21/2019 1:36:08 PM","Healthy","0"
"9/21/2019 1:36:08 PM","Healthy","0"
"9/21/2019 1:36:08 PM","Healthy","0"
"9/21/2019 1:33:08 PM","Healthy","0"
"9/21/2019 1:33:08 PM","Healthy","0"
"9/21/2019 1:33:08 PM","Healthy","0"
"9/21/2019 1:33:08 PM","Healthy","0"
"9/21/2019 1:30:08 PM","Healthy","6.616541"
"9/21/2019 1:30:08 PM","Healthy","6.015038"
"9/21/2019 1:30:08 PM","Unhealthy","6.616541"
"9/21/2019 1:30:08 PM","Unhealthy","6.015038"
"9/21/2019 1:27:08 PM","Healthy","0"
"9/21/2019 1:27:08 PM","Healthy","0"
"9/21/2019 1:27:08 PM","Healthy","0"
"9/21/2019 1:27:08 PM","Healthy","0"
"9/21/2019 1:24:08 PM","Healthy","0"
"9/21/2019 1:24:08 PM","Healthy","0"
"9/21/2019 1:24:08 PM","Healthy","0"
"9/21/2019 1:24:08 PM","Healthy","0"
"9/21/2019 1:21:08 PM","Healthy","6.015038"
"9/21/2019 1:21:08 PM","Healthy","6.616541"
"9/21/2019 1:21:08 PM","Unhealthy","6.616541"
"9/21/2019 1:21:08 PM","Unhealthy","6.015038"
"9/21/2019 1:18:08 PM","Healthy","0"
"9/21/2019 1:18:08 PM","Healthy","0"
"9/21/2019 1:18:08 PM","Healthy","0"
"9/21/2019 1:18:08 PM","Healthy","0"
"9/21/2019 1:15:08 PM","Healthy","0"
"9/21/2019 1:15:08 PM","Healthy","0"
"9/21/2019 1:15:08 PM","Healthy","0"
"9/21/2019 1:15:08 PM","Healthy","0"
"9/21/2019 1:12:08 PM","Healthy","0"
"9/21/2019 1:12:08 PM","Healthy","0"
"9/21/2019 1:12:08 PM","Healthy","0"
"9/21/2019 1:12:08 PM","Healthy","0"
"9/21/2019 1:09:08 PM","Healthy","6.015038"
"9/21/2019 1:09:08 PM","Healthy","6.616541"
"9/21/2019 1:09:08 PM","Unhealthy","6.616541"
"9/21/2019 1:09:08 PM","Unhealthy","6.015038"
"9/21/2019 1:06:08 PM","Healthy","0"
"9/21/2019 1:06:08 PM","Healthy","0"
"9/21/2019 1:06:08 PM","Healthy","0"
"9/21/2019 1:06:08 PM","Healthy","0"
"9/21/2019 1:03:08 PM","Healthy","0"
"9/21/2019 1:03:08 PM","Healthy","0"
"9/21/2019 1:03:08 PM","Healthy","0"
"9/21/2019 1:03:08 PM","Healthy","0"
"9/21/2019 1:00:08 PM","Healthy","6.015038"
"9/21/2019 1:00:08 PM","Healthy","6.616541"
"9/21/2019 1:00:08 PM","Unhealthy","6.616541"
"9/21/2019 1:00:08 PM","Unhealthy","6.015038"
"9/21/2019 12:57:08 PM","Healthy","0"
"9/21/2019 12:57:08 PM","Healthy","0"
"9/21/2019 12:57:08 PM","Healthy","0"
"9/21/2019 12:57:08 PM","Healthy","0"
"9/21/2019 12:54:08 PM","Healthy","0"
"9/21/2019 12:54:08 PM","Healthy","0"
"9/21/2019 12:54:08 PM","Healthy","0"
"9/21/2019 12:54:08 PM","Healthy","0"
"9/21/2019 12:51:08 PM","Healthy","6.015038"
"9/21/2019 12:51:08 PM","Healthy","6.616541"
"9/21/2019 12:51:08 PM","Unhealthy","6.015038"
"9/21/2019 12:51:08 PM","Unhealthy","6.616541"
"9/21/2019 12:48:08 PM","Healthy","0"
"9/21/2019 12:48:08 PM","Healthy","0"
"9/21/2019 12:48:08 PM","Healthy","0"
"9/21/2019 12:48:08 PM","Healthy","0"
"9/21/2019 12:45:08 PM","Healthy","0"
"9/21/2019 12:45:08 PM","Healthy","0"
"9/21/2019 12:45:08 PM","Healthy","0"
"9/21/2019 12:45:08 PM","Healthy","0"
"9/21/2019 12:42:08 PM","Healthy","0"
"9/21/2019 12:42:08 PM","Healthy","0"
"9/21/2019 12:42:08 PM","Healthy","0"
"9/21/2019 12:42:08 PM","Healthy","0"
"9/21/2019 12:39:08 PM","Healthy","6.616541"
"9/21/2019 12:39:08 PM","Healthy","6.015038"
"9/21/2019 12:39:08 PM","Unhealthy","6.015038"
"9/21/2019 12:39:08 PM","Unhealthy","6.616541"
"9/21/2019 12:36:08 PM","Healthy","0"
"9/21/2019 12:36:08 PM","Healthy","0"
"9/21/2019 12:36:08 PM","Healthy","0"
"9/21/2019 12:36:08 PM","Healthy","0"
"9/21/2019 12:33:08 PM","Healthy","0"
"9/21/2019 12:33:08 PM","Healthy","0"
"9/21/2019 12:33:08 PM","Healthy","0"
"9/21/2019 12:33:08 PM","Healthy","0"
"9/21/2019 12:30:08 PM","Healthy","6.015038"
"9/21/2019 12:30:08 PM","Healthy","6.616541"
"9/21/2019 12:30:08 PM","Unhealthy","6.616541"
"9/21/2019 12:30:08 PM","Unhealthy","6.015038"
"9/21/2019 12:27:08 PM","Healthy","0"
"9/21/2019 12:27:08 PM","Healthy","0"
"9/21/2019 12:27:08 PM","Healthy","0"
"9/21/2019 12:27:08 PM","Healthy","0"
"9/21/2019 12:24:08 PM","Healthy","0"
"9/21/2019 12:24:08 PM","Healthy","0"
"9/21/2019 12:24:08 PM","Healthy","0"
"9/21/2019 12:24:08 PM","Healthy","0"
"9/21/2019 12:21:08 PM","Healthy","6.616541"
"9/21/2019 12:21:08 PM","Healthy","6.015038"
"9/21/2019 12:21:08 PM","Unhealthy","6.015038"
"9/21/2019 12:21:08 PM","Unhealthy","6.616541"
"9/21/2019 12:18:08 PM","Healthy","0"
"9/21/2019 12:18:08 PM","Healthy","0"
"9/21/2019 12:18:08 PM","Healthy","0"
"9/21/2019 12:18:08 PM","Healthy","0"
"9/21/2019 12:15:08 PM","Healthy","0"
"9/21/2019 12:15:08 PM","Healthy","0"
"9/21/2019 12:15:08 PM","Healthy","0"
"9/21/2019 12:15:08 PM","Healthy","0"
"9/21/2019 12:12:08 PM","Healthy","0"
"9/21/2019 12:12:08 PM","Healthy","0"
"9/21/2019 12:12:08 PM","Healthy","0"
"9/21/2019 12:12:08 PM","Healthy","0"
"9/21/2019 12:09:08 PM","Healthy","6.015038"
"9/21/2019 12:09:08 PM","Healthy","6.616541"
"9/21/2019 12:09:08 PM","Unhealthy","6.616541"
"9/21/2019 12:09:08 PM","Unhealthy","6.015038"
"9/21/2019 12:06:08 PM","Healthy","0"
"9/21/2019 12:06:08 PM","Healthy","0"
"9/21/2019 12:06:08 PM","Healthy","0"
"9/21/2019 12:06:08 PM","Healthy","0"
"9/21/2019 12:03:08 PM","Healthy","0"
"9/21/2019 12:03:08 PM","Healthy","0"
"9/21/2019 12:03:08 PM","Healthy","0"
"9/21/2019 12:03:08 PM","Healthy","0"
"9/21/2019 12:00:08 PM","Healthy","6.616541"
"9/21/2019 12:00:08 PM","Healthy","6.015038"
"9/21/2019 12:00:08 PM","Unhealthy","6.616541"
"9/21/2019 12:00:08 PM","Unhealthy","6.015038"
"9/21/2019 11:57:08 AM","Healthy","0"
"9/21/2019 11:57:08 AM","Healthy","0"
"9/21/2019 11:57:08 AM","Healthy","0"
"9/21/2019 11:57:08 AM","Healthy","0"
"9/21/2019 11:54:08 AM","Healthy","0"
"9/21/2019 11:54:08 AM","Healthy","0"
"9/21/2019 11:54:08 AM","Healthy","0"
"9/21/2019 11:54:08 AM","Healthy","0"
"9/21/2019 11:51:08 AM","Healthy","6.015038"
"9/21/2019 11:51:08 AM","Healthy","6.616541"
"9/21/2019 11:51:08 AM","Unhealthy","6.616541"
"9/21/2019 11:51:08 AM","Unhealthy","6.015038"
"9/21/2019 11:48:08 AM","Healthy","0"
"9/21/2019 11:48:08 AM","Healthy","0"
"9/21/2019 11:48:08 AM","Healthy","0"
"9/21/2019 11:48:08 AM","Healthy","0"
"9/21/2019 11:45:08 AM","Healthy","0"
"9/21/2019 11:45:08 AM","Healthy","0"
"9/21/2019 11:45:08 AM","Healthy","0"
"9/21/2019 11:45:08 AM","Healthy","0"
"9/21/2019 11:42:08 AM","Healthy","0"
"9/21/2019 11:42:08 AM","Healthy","0"
"9/21/2019 11:42:08 AM","Healthy","0"
"9/21/2019 11:42:08 AM","Healthy","0"
"9/21/2019 11:39:08 AM","Healthy","6.015038"
"9/21/2019 11:39:08 AM","Healthy","6.616541"
"9/21/2019 11:39:08 AM","Unhealthy","6.616541"
"9/21/2019 11:39:08 AM","Unhealthy","6.015038"
"9/21/2019 11:36:08 AM","Healthy","0"
"9/21/2019 11:36:08 AM","Healthy","0"
"9/21/2019 11:36:08 AM","Healthy","0"
"9/21/2019 11:36:08 AM","Healthy","0"
"9/21/2019 11:33:08 AM","Healthy","0"
"9/21/2019 11:33:08 AM","Healthy","0"
"9/21/2019 11:33:08 AM","Healthy","0"
"9/21/2019 11:33:08 AM","Healthy","0"
"9/21/2019 11:30:08 AM","Healthy","6.015038"
"9/21/2019 11:30:08 AM","Healthy","6.616541"
"9/21/2019 11:30:08 AM","Unhealthy","6.015038"
"9/21/2019 11:30:08 AM","Unhealthy","6.616541"
"9/21/2019 11:27:08 AM","Healthy","0"
"9/21/2019 11:27:08 AM","Healthy","0"
"9/21/2019 11:27:08 AM","Healthy","0"
"9/21/2019 11:27:08 AM","Healthy","0"
"9/21/2019 11:24:08 AM","Healthy","0"
"9/21/2019 11:24:08 AM","Healthy","0"
"9/21/2019 11:24:08 AM","Healthy","0"
"9/21/2019 11:24:08 AM","Healthy","0"
"9/21/2019 11:21:08 AM","Healthy","6.616541"
"9/21/2019 11:21:08 AM","Healthy","6.015038"
"9/21/2019 11:21:08 AM","Unhealthy","6.015038"
"9/21/2019 11:21:08 AM","Unhealthy","6.616541"
"9/21/2019 11:18:08 AM","Healthy","0"
"9/21/2019 11:18:08 AM","Healthy","0"
"9/21/2019 11:18:08 AM","Healthy","0"
"9/21/2019 11:18:08 AM","Healthy","0"
"9/21/2019 11:15:08 AM","Healthy","0"
